position,artist,name
4070,702,Where My Girls At?
4419,"10,000 Maniacs",Because the Night
388,10CC,I'm Not in Love
827,1910 Fruitgum Co,Simon Says
4417,2 In A Room,Wiggle It
865,2 Unlimited,No Limit
3282,20 Fingers,Short Dick Man
1648,2Pac,Changes
902,2Pac & Dr Dre,California Love
2967,2Pac & Elton John,Ghetto Gospel
3738,3OH!3,Don't Trust Me
3763,3OH!3 & Ke$ha,"Blah, Blah, Blah"
1922,3T,Anything
4088,4 The Cause,Stand By Me
3666,4pm,Sukiyaki
53,50 Cent,In Da Club
1114,50 Cent & Justin Timberlake,Ayo Technology
623,50 Cent & Olivia,Candy Shop
2569,5000 Volts,I'm On Fire
3615,98 Degrees,Give Me Just One Night
2931,A Flock of Seagulls,I Ran (So Far Away)
1503,A R Rahman & The Pussycat Dolls,Jay Ho (you Are My Destiny)
1259,A Taste of Honey,Boogie Oogie Oogie
899,Aaliyah,Try Again
4060,Aaron Neville,Tell it Like it Is
28,Abba,Dancing Queen
1949,ABC,The Look of Love
3782,AC/DC,You Shook Me All Night Long
4566,Ace,How Long?
56,Ace of Base,The Sign
3857,Adam & The Ants,Antmusic
2714,Adam Ant,Goody Two Shoes
1833,Adam Clayton & Larry Mullen,Theme From 'Mission Impossible'
4217,Adam Lambert,What Do You Want From Me?
3023,Adamski,Killer
159,Adele,Rolling In The Deep
3759,Adina Howard,Freak Like Me
86,Aerosmith,I Don't Want to Miss a Thing
740,Afroman,Because I Got High
113,A-Ha,Take On Me
2033,Air Supply,All Out of Love
235,Akon,Lonely
1198,Akon & Snoop Dogg,I Wanna Love You
439,Al Dexter & his Troopers,Pistol Packin' Mama
555,Al Green,Let's Stay Together
917,Al Hibbler,Unchained Melody
4764,Al Hirt,Java
406,Al Jolson,Swanee
407,Al Martino,Here in My Heart
3289,Al Stewart,Year of the Cat
1627,Al Trace,You Call Everybody Darlin'
4227,Alain Barriere & Noelle Cordier,Tu t'en vas
2699,Alan O'Day,Undercover Angel
397,Alanis Morissette,Ironic
494,Alannah Myles,Black Velvet
1971,Albert Hammond,It Never Rains in Southern California
4806,Alcazar,Crying At the Discoteque
3536,Alex Clare,Too Close
2282,Alexandra Stan,Mr Saxobeat
1282,Alice Cooper,School's Out
2551,Alicia Bridges,I Love the Nightlife
241,Alicia Keys,No One
2289,Alien Ant Farm,Smooth Criminal
3748,Alizee,Moi... Lolita
436,All Saints,Never Ever
71,All-4-One,I Swear
2042,All-American Rejects,Gives You Hell
4603,Allan Sherman,Hello Muddah Hello Faddah
1744,Alphaville,Big in Japan
2192,Alveno Rey,Deep in the Heart of Texas
2759,Alvin Stardust,My Coo-Ca-Choo
802,America,Horse With No Name
2342,American Breed,Bend Me Shape Me
3472,American Quartet,Over There
1905,Amerie,1 Thing
508,Amii Stewart,Knock On Wood
993,Amy Grant,Baby Baby
2047,Amy Macdonald,This is the Life
543,Amy Winehouse,Rehab
1218,Anastacia,I'm Outta Love
1822,Andrea True Connection,"More, More, More"
4657,Andru Donalds,Mishale
539,Andy Gibb,Shadow Dancing
2544,Andy Kim,Rock Me Gently
2956,Andy Williams,Butterfly
1613,Aneka,Japanese Boy
4765,Animotion,Obsession
3819,Anita Baker,Giving You The Best That I Got
3655,Anita O'Day,Tennessee Waltz
390,Anita Ward,Ring My Bell
4431,Ann Lee,2 Times
1599,Anne Murray,You Needed Me
3513,Anne Shelton,Lay Down Your Arms
1172,Annie Lennox,No More 'I Love Yous'
169,Anton Karas,Third Man Theme
3361,Aphrodite's Child,Rain & Tears
125,Aqua,Barbie Girl
4029,Arcadia,Election Day
3864,Archie Bell & The Drells,Tighten Up
4780,Archie Bleyer,Hernando's Hideaway
107,Archies,Sugar Sugar
4061,Arctic Monkeys,Brianstorm
635,Aretha Franklin,Respect
1057,Aretha Franklin & George Michael,I Knew You Were Waiting (For Me)
4007,Argent,Hold Your Head Up
3144,Arrested Development,Mr Wendal
1953,Art Garfunkel,Bright Eyes
2343,Art Lund,Mam'selle
652,Art Mooney,I'm Looking Over a Four Leaf Clover
3591,Art Tatum,Tea For Two
2585,Arthur Conley,Sweet Soul Music
2847,Arthur Gibbs & his Gang,Charleston
2385,Arthur Godfrey,Too Fat Polka (I Don't Want Her-You Can Have Her-She's Too Fat For Me)
644,Artie Shaw,Begin the Beguine
1605,Ashanti,Foolish
2648,Ashford & Simpson,Solid
1982,Ashlee Simpson,Pieces of Me
2996,Asia,Heat of the Moment
2944,Association,Cherish
4103,ATB,9pm (Till I Come)
3355,ATC,Around The World (La La La La La)
1808,Atlantic Starr,Always
1352,Atomic Kitten,Whole Again
2299,Aventura,Obsession
2530,Average White Band,Pick Up the Pieces
1061,Avicii,Wake Me Up
160,Avril Lavigne,Girlfriend
2126,Az Yet,Hard to Say I'm Sorry
459,B J Thomas,Raindrops Keep Falling On My Head
1477,B*Witched,C'est La Vie
3089,B2K & P Diddy,Bump Bump Bump
1828,Baby Bash,Suga Suga
4051,Babyface,Everytime I Close My Eyes
547,Babylon Zoo,Spaceman
563,Baccara,"Yes Sir, I Can Boogie"
435,Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet
2751,Bad English,When I See You Smile
2051,Badfinger,Day After Day
996,Baha Men,Who Let the Dogs Out?
982,Baltimora,Tarzan Boy
672,Bananarama,Venus
204,Band Aid,Do They Know It's Christmas?
1113,Band Aid 20,Do They Know It's Christmas?
4211,Barbara George,I Know (You Don't Love Me No More)
47,Barbra Streisand,A Woman in Love
2542,Barbra Streisand & Barry Gibb,Guilty
1501,Barbra Streisand & Bryan Adams,I Finally Found Someone
1437,Barbra Streisand & Donna Summer,No More Tears (Enough is Enough)
1560,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers
2245,Barenaked Ladies,One Week
1307,Barry Manilow,Mandy
1128,Barry McGuire,Eve of Destruction
632,Barry Ryan,Eloise
772,Barry White,"You're the First, the Last, My Everything"
3955,Baz Luhrmann,Everybody's Free (To Wear Sunscreen)
4255,BB King,The Thrill is Gone
2214,Beats International,Dub Be Good to Me
1299,Beck,Loser
16,Bee Gees,Stayin' Alive
610,Belinda Carlisle,Heaven is a Place On Earth
3022,Bell Biv Devoe,Poison
577,Bellamy Brothers,Let Your Love Flow
4564,Bellini,Samba De Janeiro
1350,Ben Bernie,Sweet Georgia Brown
142,Ben E King,Stand By Me
1573,Ben Selvin,Happy Days Are Here Again
860,Benny Goodman,"Sing, Sing, Sing (With A Swing)"
4159,Benny Mardones,Into the Night
154,Berlin,Take My Breath Away
1574,Bert Kaempfert & his Orchestra,Wonderland By Night
4448,Bertolt Brecht,Mack the Knife
1020,Bessie Smith,Down Hearted Blues
1575,Bette Midler,Wind Beneath My Wings
2390,Betty Hutton,"Doctor, Lawyer, Indian Chief"
101,Beyonce,Crazy in Love
1094,Beyonce & Jay-Z,Deja Vu
224,Beyonce & Shakira,Beautiful Liar
3129,Big Bopper,Chantilly Lace
4840,Big Brother & the Holding Company,Piece of My Heart
4874,Big Brovaz,Nu Flow
677,Big Mountain,"Baby, I Love Your Way"
2923,Bill Conti,Gonna Fly Now (Theme From 'Rocky')
2598,Bill Doggett,Honky Tonk
2,Bill Haley & his Comets,Rock Around the Clock
